5182,199,218,210,215,609,935,736,256,840,1539,0
6523,844,584,90,297,700,1935,1415,431,3780,5790,0
5878,4380,4119,90,280,456,905,547,700,3780,321,0
1275,759,169,240,777,173,340,577,349,335,535,1
8117,1597,1485,150,241,411,585,612,128,4230,1255,1
9889,181,98,240,259,815,215,223,128,4890,115,0
3997,1300,212,240,1267,815,270,135,391,5070,2161,0
7125,139,87,240,232,783,255,154,815,4890,374,1
10481,387,68,240,514,815,285,219,485,5160,1170,0
3212,6145,6013,300,385,690,810,635,555,1560,672,0
12343,748,96,150,758,281,395,152,128,3960,193,0
8473,1415,1157,150,346,377,280,179,485,5160,977,0
9931,898,112,240,965,281,415,186,815,6715,11,0
12666,3140,3004,240,324,445,995,808,128,3960,200,0
14132,142,136,240,182,456,1085,1093,349,550,289,0
13119,1081,413,180,859,753,1575,928,511,9720,687,1
13572,778,254,420,894,349,1410,2375,548,320,580,0
1388,27415,26485,90,963,815,1220,1027,700,3780,5,0
4697,671,140,240,713,815,280,381,153,5160,2959,0
13297,5442,4568,120,934,236,420,260,815,5040,3013,1
9481,327,167,90,278,579,1010,584,128,3780,358,0
5838,249,116,150,223,391,385,155,815,3160,3518,0
10613,2127,234,300,2158,332,705,783,815,5400,1459,0
1363,287,172,150,179,746,870,828,349,2735,3341,1
4038,295,98,240,382,815,270,143,391,5070,2015,0
3091,692,72,270,851,349,930,1062,456,435,3613,0
13510,1211,494,90,772,485,1250,897,700,3780,4,0
4991,115,51,240,227,476,975,731,815,6465,7,0
11674,123,48,420,596,349,1240,1048,413,360,365,0
7108,342,9,300,583,753,510,322,174,3960,444,2
394,1024,892,420,559,815,845,726,809,3960,2341,0
13559,139,10,240,305,476,975,818,815,5040,786,0
11152,509,283,240,429,398,1305,369,299,9040,588,0
10315,136,93,135,166,815,295,201,485,5160,111,0
3104,3858,3529,90,702,671,815,524,700,3780,1121,1
3491,241,190,135,135,815,285,166,485,5160,337,0
4535,5877,5505,240,584,548,920,157,128,3960,859,0
2172,2713,2080,90,697,700,1100,625,597,3780,3734,0
11135,898,29,240,1049,597,950,773,349,393,529,1
13641,14854,14484,300,688,555,735,719,371,1560,53,0
10206,1476,1147,240,525,798,740,596,815,5590,1425,0
11942,112,73,120,99,256,980,1610,815,5440,714,0
9153,781,41,150,865,727,125,172,128,4200,3985,1
2315,22224,21475,90,1785,476,1120,871,128,3780,354,0
8251,1863,1181,90,712,308,1255,946,233,3780,797,0
9962,990,248,240,925,281,415,204,815,5280,14,0
561,315,3,165,432,128,1275,1031,413,3960,985,0
828,180,90,150,194,485,140,105,128,4200,588,0
4562,3637,3296,90,370,671,795,654,700,3780,904,1
13455,3325,2849,300,716,411,1100,827,349,384,2,1
8283,555,280,90,302,431,1780,1482,700,3780,71,0
8168,3144,2917,300,567,431,811,528,256,3885,1369,0
3231,1281,537,240,927,456,1015,971,128,3960,111,1
5025,1085,267,180,938,597,1050,1009,815,5040,2203,0
7498,1162,99,210,1213,663,265,157,815,6990,3164,1
11109,264,126,155,291,134,100,263,281,2880,1000,1
8679,845,170,180,801,761,345,217,609,1440,363,1
11694,291,2,240,486,809,725,507,128,3960,212,1
4613,135,58,135,168,815,285,204,485,5160,709,0
10507,682,95,240,776,815,200,168,233,5220,407,0
234,122,83,300,275,609,820,631,815,5315,15,0
8585,2984,2737,150,346,411,585,559,128,3300,1433,1
12419,1439,372,150,1167,281,115,136,128,4230,1572,1
12117,2183,2047,180,304,671,1200,897,349,920,995,1
9449,171,71,150,202,614,455,191,815,3565,3724,0
7564,151,136,150,107,614,455,182,815,3565,855,0
10705,4845,4404,270,678,700,810,816,349,550,5758,0
8425,131,19,150,204,101,155,127,128,4200,104,0
11901,2292,36,240,2452,128,970,723,456,3960,306,0
6777,1095,635,90,511,485,1240,995,700,3780,166,0
12335,982,327,150,758,281,155,168,128,4200,218,0
13171,1076,434,90,694,700,850,547,413,3780,4051,0
13743,32,45,240,195,128,785,517,809,3960,232,0
11804,1820,362,300,1866,609,735,542,281,4050,331,1
6531,92,76,240,211,128,970,790,456,3960,180,0
11836,1450,1938,300,1192,409,720,1058,281,4050,2961,1
10419,1359,171,240,1383,815,760,713,609,7680,1104,0
12361,808,256,210,705,233,375,346,815,5300,15,0
9073,3026,1791,90,1266,441,1105,712,700,3780,338,0
1025,1420,1343,300,329,753,1320,1157,128,3960,78,1
5280,6286,5888,180,508,809,1240,1281,149,6900,318,1
12379,1601,1436,150,261,281,115,116,128,4230,1382,1
717,325,523,120,732,721,960,644,256,720,2634,1
2159,322,164,90,218,700,1275,855,815,3780,300,0
9716,1437,394,420,1505,349,1190,904,597,665,8477,0
14178,1877,1853,240,204,721,330,274,349,356,595,1
